DEVELOPMENT OF THE DICTIONARIES DE-FR AND FR-DE


DATE       |  de-fr  |  fr-de  |   Total | Happening
-----------+---------+---------+---------|--------------------------
2005-11-21 |     539 |     446 |     985 |
2005-11-22 |     553 |     460 |    1013 | both 1000+
2005-11-23 |     601 |     501 |    1102 | both 110+, de-fr 600+, fr-de 500+
2005-12-11 |     621 |     520 |    1141 |
2005-12-18 |     638 |     530 |    1168 |
2006-01-04 |     670 |     564 |    1234 | both 1200+, funny 1234
2006-01-07 |     684 |     572 |    1256 |
2006-01-09 |     700 |     580 |    1280 | de-fr 700
2006-01-11 |     713 |     592 |    1305 | both 1300+
2006-01-14 |     727 |     602 |    1329 | fr-de 600+
2006-01-18 |     739 |     612 |    1351 |
2006-01-22 |     765 |     629 |    1394 |
2006-02-01 |     790 |     652 |    1442 | both 1400+
2006-02-03 |     811 |     672 |    1483 | de-fr 800+
2006-02-10 |     836 |     690 |    1526 | both 1500+
2006-02-16 |     849 |     704 |    1553 | fr-de 700+
2006-02-24 |     861 |     713 |    1574 |
2006-04-12 |     872 |     725 |    1597 |
